alpha,seed,algo,final_reward,final_stability
0.4,6,PPO,-138.0470365875426,0.6031479877133795
0.4,6,EGP,-174.71082413425316,0.49751851681365233
0.4,6,FPRL,-202.2360757333225,0.4807366405490387
0.4,7,PPO,-423.2159367145202,0.12140175127944751
0.4,7,EGP,-191.72293576413335,0.4436765856418706
0.4,7,FPRL,-217.293821066643,0.42939293898669256
0.4,8,PPO,-199.28092770958617,0.38457914324459364
0.4,8,EGP,-172.18342683388326,0.4792284560834491
0.4,8,FPRL,-220.70821647884003,0.43647696928616386
0.4,9,PPO,-117.96882077914049,0.5568426952698315
0.4,9,EGP,-149.02962927863214,0.5224142480808165
0.4,9,FPRL,-209.65445488622385,0.45991287125416347
0.4,10,PPO,-147.06000299765233,0.5182698417069198
0.4,10,EGP,-152.6779362506933,0.49686608823804235
0.4,10,FPRL,-194.5446102825211,0.46229318472914127
0.45,1,PPO,-130.92841843456816,0.5676314549548882
0.45,1,EGP,-226.54086786817996,0.44550356313296546
0.45,1,FPRL,-215.53766390974513,0.4581642413128629
0.45,2,PPO,-171.11781004407058,0.48427248323483907
0.45,2,EGP,-233.6530666050269,0.42092800767363736
0.45,2,FPRL,-205.24473428794656,0.4502578158006573
0.45,3,PPO,-157.02198388668162,0.5606837254574423
0.45,3,EGP,-247.91213131362315,0.4411767524378381
0.45,3,FPRL,-226.5468994830268,0.45459189613270823
0.45,4,PPO,-266.2757212122307,0.40686050838985083
0.45,4,EGP,-171.75789639065133,0.47602026690294513
0.45,4,FPRL,-192.97261062988642,0.4547782099398285
0.45,5,PPO,-157.1443769778402,0.5072732362954356
0.45,5,EGP,-210.47766803248163,0.458250191994403
0.45,5,FPRL,-200.85037596877615,0.45841398303349895
0.45,6,PPO,-138.0470365875426,0.6031479877133795
0.45,6,EGP,-174.70309819806565,0.49765804939075614
0.45,6,FPRL,-202.47158774377925,0.48101797308916666
0.45,7,PPO,-423.2159367145202,0.12140175127944751
0.45,7,EGP,-189.47528137703208,0.4458138600753712
0.45,7,FPRL,-217.42752552204837,0.429506380418234
0.45,8,PPO,-199.28092770958617,0.38457914324459364
0.45,8,EGP,-168.29063212309396,0.4827738277434743
0.45,8,FPRL,-220.73974994634312,0.4358791133951275
0.45,9,PPO,-117.96882077914049,0.5568426952698315
0.45,9,EGP,-143.4203904511647,0.527110410625698
0.45,9,FPRL,-209.6661966502772,0.4598285597149192
0.45,10,PPO,-147.06000299765233,0.5182698417069198
0.45,10,EGP,-149.30806171382824,0.49921755929521927
0.45,10,FPRL,-194.62512448782178,0.4625743822010928
0.5,1,PPO,-130.92841843456816,0.5676314549548882
0.5,1,EGP,-230.03935872716772,0.4406585325398935
0.5,1,FPRL,-216.28918002808928,0.456975773611931
0.5,2,PPO,-171.11781004407058,0.48427248323483907
0.5,2,EGP,-240.73698104419006,0.4134722326792133
0.5,2,FPRL,-205.42676394317746,0.4498616851173705
0.5,3,PPO,-157.02198388668162,0.5606837254574423
0.5,3,EGP,-253.38490614524324,0.43508583957501995
0.5,3,FPRL,-226.58282275174665,0.45453944419017134
0.5,4,PPO,-266.2757212122307,0.40686050838985083
0.5,4,EGP,-170.31099672674932,0.4774702273886722
0.5,4,FPRL,-192.85666223382466,0.45484418827692946
0.5,5,PPO,-157.1443769778402,0.5072732362954356
0.5,5,EGP,-213.15563306738665,0.456487521814858
0.5,5,FPRL,-201.0006618245132,0.4584066070201433
0.5,6,PPO,-138.0470365875426,0.6031479877133795
0.5,6,EGP,-172.02720047952351,0.500790312226834
0.5,6,FPRL,-202.00973281333458,0.48048724942817694
0.5,7,PPO,-423.2159367145202,0.12140175127944751
0.5,7,EGP,-185.673372430663,0.44869471697909347
0.5,7,FPRL,-217.58487419229442,0.42976210632454037
0.5,8,PPO,-199.28092770958617,0.38457914324459364
0.5,8,EGP,-164.68277127913683,0.486107288934738
0.5,8,FPRL,-220.6556730982663,0.435324873894113
0.5,9,PPO,-117.96882077914049,0.5568426952698315
0.5,9,EGP,-138.38982485578566,0.5316551120249258
0.5,9,FPRL,-209.51332904572996,0.45993703042933876
0.5,10,PPO,-147.06000299765233,0.5182698417069198
0.5,10,EGP,-149.41791631007976,0.49959554602642214
0.5,10,FPRL,-194.5034870683688,0.4627195964034663
0.55,1,PPO,-130.92841843456816,0.5676314549548882
0.55,1,EGP,-231.57272083919707,0.4373653442532576
0.55,1,FPRL,-217.37635056829828,0.45569935988659516
0.55,2,PPO,-171.11781004407058,0.48427248323483907
