seed,algo,alpha,avg_reward,reward_std,stab_error
18,FPRL,0.1,-400.56150707727954,65.02272077055606,0.41595169194561477
18,ICRL,0.1,-306.58244551888356,61.63305686444007,0.45445215904907116
19,PPO,0.1,-341.19214741681344,53.267764268567866,0.47385141934508845
19,SAC,0.1,-356.1782826840946,52.58285450110679,0.46704049164800454
19,EGP,0.1,-341.1875565923409,53.28750869110556,0.47383036962407943
19,FPRL,0.1,-385.95771260988766,57.08829642594224,0.4343710034959236
19,ICRL,0.1,-341.1875565923409,53.28750869110556,0.47383036962407943
20,PPO,0.1,-306.39709788382754,47.82073349279708,0.4450977144186887
20,SAC,0.1,-362.9339955655847,56.19325614459987,0.47327650148707506
20,EGP,0.1,-305.4625730294524,47.80668148328239,0.4447455309114774
20,FPRL,0.1,-396.31230339779273,55.05485004796343,0.4142102329714645
20,ICRL,0.1,-305.4625730294524,47.80668148328239,0.4447455309114774
21,PPO,0.1,-295.38558118666987,48.89042222119731,0.47278897933722563
21,SAC,0.1,-406.8808865112207,54.92675516107173,0.4203342705689641
21,EGP,0.1,-295.49161532307147,48.89358432014166,0.4728502331817816
21,FPRL,0.1,-376.03403149173664,54.95228037810218,0.45524200818208455
21,ICRL,0.1,-295.49161532307147,48.89358432014166,0.4728502331817816
22,PPO,0.1,-351.81810972037175,69.46205193225423,0.4253735573227794
22,SAC,0.1,-383.76611134952435,52.37028031398688,0.42538297823851073
22,EGP,0.1,-350.35097756372096,69.64346340814134,0.4257030628718706
22,FPRL,0.1,-424.63701802003226,75.44331701382558,0.38802258098446285
22,ICRL,0.1,-350.35097756372096,69.64346340814134,0.4257030628718706
23,PPO,0.1,-246.3783094598559,50.17425606248266,0.387256869389185
23,SAC,0.1,-459.70229009987435,67.69101537531894,0.3819595043032247
23,EGP,0.1,-250.52505787056714,51.32091289762214,0.38914860855081773
23,FPRL,0.1,-433.8493555201235,76.06997336170542,0.3522724966477875
23,ICRL,0.1,-250.52505787056714,51.32091289762214,0.38914860855081773
24,PPO,0.1,-301.8354462866878,54.43087152044533,0.46187555382212914
24,SAC,0.1,-378.72760147914613,58.0544842440104,0.41815488066237616
24,EGP,0.1,-301.79296884803034,54.441823511734505,0.46171741844013886
24,FPRL,0.1,-380.21760972764935,59.68286883138992,0.43012107878698685
24,ICRL,0.1,-301.79296884803034,54.441823511734505,0.46171741844013886
25,PPO,0.1,-340.97852895793176,46.5799935846815,0.44643669532805585
25,SAC,0.1,-385.6583786986277,57.644019084511015,0.43446877427202696
25,EGP,0.1,-341.25100607243644,46.6001526609447,0.4463524752037174
25,FPRL,0.1,-388.34465623521294,55.63610884036998,0.4397477837597998
25,ICRL,0.1,-341.25100607243644,46.6001526609447,0.4463524752037174
26,PPO,0.1,-372.5800808250143,67.07464594080615,0.461279984215908
26,SAC,0.1,-368.1940872622187,62.08990574973486,0.42522343717464534
26,EGP,0.1,-372.4573379628758,67.02760116012175,0.46114332039924877
26,FPRL,0.1,-400.9310367855541,66.69256388818509,0.4394009897056252
26,ICRL,0.1,-372.4573379628758,67.02760116012175,0.46114332039924877
27,PPO,0.1,-310.05696329660185,53.08369751242513,0.46443114688724824
27,SAC,0.1,-450.34253332181976,71.24071242790482,0.38770936918862603
27,EGP,0.1,-309.5099467517617,52.72776563828005,0.4628721183895528
27,FPRL,0.1,-378.0057625164051,57.08240178087738,0.4528016823284437
27,ICRL,0.1,-309.5099467517617,52.72776563828005,0.4628721183895528
28,PPO,0.1,-328.7246036960621,54.02747973710406,0.4584625269433723
28,SAC,0.1,-373.74483767020746,70.07848426445638,0.4343908266901509
28,EGP,0.1,-329.14348858129716,53.9373099471299,0.45902882883092516
28,FPRL,0.1,-421.13165127804643,70.01248836093096,0.3874879006072507
28,ICRL,0.1,-329.14348858129716,53.9373099471299,0.45902882883092516
29,PPO,0.1,-322.52262005088335,55.97543056970207,0.4746410020308418
29,SAC,0.1,-367.3743786880762,50.348723923041774,0.44119960029173355
29,EGP,0.1,-322.64732056706754,55.88897382498982,0.47469821745499247
29,FPRL,0.1,-368.51223580211524,55.742901932080834,0.45961476164154363
29,ICRL,0.1,-322.64732056706754,55.88897382498982,0.47469821745499247
30,PPO,0.1,-278.0930861023008,48.93806670007442,0.4583330559826375
30,SAC,0.1,-402.9205549936375,58.92013366825347,0.42091574879693683
30,EGP,0.1,-277.0950164123076,48.992130818764494,0.45755969794713935
30,FPRL,0.1,-398.3788826424192,60.253810172796406,0.45410027145498405
30,ICRL,0.1,-277.0950164123076,48.992130818764494,0.45755969794713935
31,PPO,0.1,-343.5086219793167,64.44139592694715,0.48097271788595264
