seed,algo,sigma_obs,alpha,avg_reward,reward_std,stab_error
18,PPO,0.01,0.5,-201.70437503140812,105.27315129502665,0.5231362460545634
18,SAC,0.01,0.5,-344.10205881494176,127.75734423666529,0.506759356951982
18,EGP,0.01,0.5,-201.2186039224492,101.49530378789657,0.5236732263183621
18,FPRL,0.01,0.5,-660.4552599663125,290.1414165042611,0.5304444339021199
18,ICRL,0.01,0.5,-201.2186039224492,101.49530378789657,0.5236732263183621
19,PPO,0.01,0.5,-228.6244065361405,100.53217130038034,0.5603780988558766
19,SAC,0.01,0.5,-330.27553995464666,122.58213967809509,0.6441986742060913
19,EGP,0.01,0.5,-224.33803123605134,96.06441753124739,0.556804631984322
19,FPRL,0.01,0.5,-799.7346815872568,213.17500105767607,0.5242917451536363
19,ICRL,0.01,0.5,-224.33803123605134,96.06441753124739,0.556804631984322
20,PPO,0.01,0.5,-125.64331931670671,39.56479538764727,0.47451332824620146
20,SAC,0.01,0.5,-255.0500435846625,126.81357697307664,0.5977805609955021
20,EGP,0.01,0.5,-126.01429082620552,38.63362632104699,0.4746618653902964
20,FPRL,0.01,0.5,-608.052212924615,234.51671969639222,0.49201975710860263
20,ICRL,0.01,0.5,-126.01429082620552,38.63362632104699,0.4746618653902964
21,PPO,0.01,0.5,-213.36978211817794,68.77546571919139,0.6123174893154552
21,SAC,0.01,0.5,-361.28400149943457,138.14589042803027,0.5548258997486923
21,EGP,0.01,0.5,-221.14650349257096,68.7318509615257,0.6079472794173465
21,FPRL,0.01,0.5,-748.4485335272599,207.16573243579245,0.6777674051123841
21,ICRL,0.01,0.5,-221.14650349257096,68.7318509615257,0.6079472794173465
22,PPO,0.01,0.5,-156.04851012110558,51.42871957319869,0.48536534355637895
22,SAC,0.01,0.5,-311.9761636896111,143.4761499140776,0.5656796309410004
22,EGP,0.01,0.5,-163.73662142567304,57.59325256342067,0.4919958148067517
22,FPRL,0.01,0.5,-609.0969030665758,183.26751698877757,0.42247083337747204
22,ICRL,0.01,0.5,-163.73662142567304,57.59325256342067,0.4919958148067517
23,PPO,0.01,0.5,-121.12007967269966,22.722384064810313,0.46064290079683745
23,SAC,0.01,0.5,-246.10168315273168,108.60000929800799,0.5323376985809576
23,EGP,0.01,0.5,-123.7243435463748,23.543487086525403,0.46160241291938364
23,FPRL,0.01,0.5,-390.67509169076425,120.74049867024446,0.4582122270073723
23,ICRL,0.01,0.5,-123.7243435463748,23.543487086525403,0.46160241291938364
24,PPO,0.01,0.5,-163.11801699116566,37.66485124244156,0.5064156277770657
24,SAC,0.01,0.5,-236.5994607356579,70.66496665155992,0.5520711549438575
24,EGP,0.01,0.5,-162.17258448301808,35.76829336876207,0.5038090506823913
24,FPRL,0.01,0.5,-738.4833777491621,207.96554721290173,0.5040935686835518
24,ICRL,0.01,0.5,-162.17258448301808,35.76829336876207,0.5038090506823913
25,PPO,0.01,0.5,-193.19101615151436,57.33530574318992,0.499197730430432
25,SAC,0.01,0.5,-310.21957598078706,124.93220673946398,0.5795069055399428
25,EGP,0.01,0.5,-193.37560447421797,57.504199052297906,0.49950502860790463
25,FPRL,0.01,0.5,-693.8428535635537,191.1646180344479,0.557849363364199
25,ICRL,0.01,0.5,-193.37560447421797,57.504199052297906,0.49950502860790463
26,PPO,0.01,0.5,-271.19172580814325,110.32817899711468,0.6004830557442399
26,SAC,0.01,0.5,-264.7951861265878,86.00096826086339,0.5537069590770268
26,EGP,0.01,0.5,-278.237447284458,117.70573216090415,0.6070513926446938
26,FPRL,0.01,0.5,-650.9205230912946,252.4240362973879,0.6225884832861402
26,ICRL,0.01,0.5,-278.237447284458,117.70573216090415,0.6070513926446938
27,PPO,0.01,0.5,-204.91755866217542,76.67114531813864,0.5574022711351794
27,SAC,0.01,0.5,-340.24791304578804,155.10849154233247,0.5434346954282173
27,EGP,0.01,0.5,-199.58859536051247,72.5900043740015,0.5510234300239932
27,FPRL,0.01,0.5,-754.8365695550723,252.7914512822794,0.6497437802176942
