seed,algo,n_agents,beta,gamma,avg_reward,collapse_count,final_resource,reward_std
49,FPRL,3,0.3,0.5,-4.919206801529897,300,0.035187137126922605,0.051392495911445804
50,PPO,3,0.3,0.5,-19.48885333078084,1,0.9663392394206929,0.2934481564079925
50,EGP,3,0.3,0.5,-19.48885333078084,1,0.9663392394206929,0.2934481564079925
50,FPRL,3,0.3,0.5,-4.920091430148631,300,0.018312489897012715,0.050037154141886094
1,PPO,3,0.3,1.0,-39.773475132470956,3,0.9646059172252697,0.5737537845826189
1,EGP,3,0.3,1.0,-39.773475132470956,3,0.9646059172252697,0.5737537845826189
1,FPRL,3,0.3,1.0,-5.115801996296477,300,0.0,0.12524043993952155
2,PPO,3,0.3,1.0,-39.899657087269524,2,0.9784933898308177,0.5492287535545161
2,EGP,3,0.3,1.0,-39.899657087269524,2,0.9784933898308177,0.5492287535545161
2,FPRL,3,0.3,1.0,-5.0843505092540235,300,0.0,0.06959263659334797
3,PPO,3,0.3,1.0,-39.921949936690744,1,0.9545811915282918,0.5442154021505479
3,EGP,3,0.3,1.0,-39.921949936690744,1,0.9545811915282918,0.5442154021505479
3,FPRL,3,0.3,1.0,-5.12337278621188,300,0.0,0.10879552660807215
4,PPO,3,0.3,1.0,-39.873019236856145,7,0.9617179268765871,0.43409661906613667
4,EGP,3,0.3,1.0,-39.873019236856145,7,0.9617179268765871,0.43409661906613667
4,FPRL,3,0.3,1.0,-5.097471663814854,300,0.0,0.07550271252015209
5,PPO,3,0.3,1.0,-39.90643183739474,3,0.9441222269944427,0.521746657493456
5,EGP,3,0.3,1.0,-39.90643183739474,3,0.9441222269944427,0.521746657493456
5,FPRL,3,0.3,1.0,-5.113899090255493,300,0.0,0.10211235543643785
6,PPO,3,0.3,1.0,-39.94125187511447,2,0.9490870983841214,0.5494040313130053
6,EGP,3,0.3,1.0,-39.94125187511447,2,0.9490870983841214,0.5494040313130053
6,FPRL,3,0.3,1.0,-5.122463897475868,300,0.0,0.1016799036994084
7,PPO,3,0.3,1.0,-39.970137214826984,2,0.9386344610487893,0.5325117205159404
7,EGP,3,0.3,1.0,-39.970137214826984,2,0.9386344610487893,0.5325117205159404
7,FPRL,3,0.3,1.0,-5.080025133628279,300,0.04050994429191025,0.07862980273712109
8,PPO,3,0.3,1.0,-39.858635231063765,2,0.9318749292146248,0.5092411552984875
8,EGP,3,0.3,1.0,-39.858635231063765,2,0.9318749292146248,0.5092411552984875
8,FPRL,3,0.3,1.0,-5.090917141012002,300,0.0,0.07452454103947408
9,PPO,3,0.3,1.0,-39.97348284770544,4,0.9459461114349016,0.5088858237033668
9,EGP,3,0.3,1.0,-39.97348284770544,4,0.9459461114349016,0.5088858237033668
9,FPRL,3,0.3,1.0,-5.132971188412198,300,0.006136661678552632,0.11035831039223033
10,PPO,3,0.3,1.0,-39.83100394240605,2,0.9731396297313933,0.5463947317769142
10,EGP,3,0.3,1.0,-39.83100394240605,2,0.9731396297313933,0.5463947317769142
10,FPRL,3,0.3,1.0,-5.106683350230669,300,0.021470578656309823,0.0752558701681814
11,PPO,3,0.3,1.0,-39.904639855905096,2,0.9223663230562321,0.6024541143342689
11,EGP,3,0.3,1.0,-39.904639855905096,2,0.9223663230562321,0.6024541143342689
11,FPRL,3,0.3,1.0,-5.096032705042265,300,0.018312489897012715,0.07425191743206733
12,PPO,3,0.3,1.0,-39.782554188561484,1,0.9492843445511452,0.5142572502131229
12,EGP,3,0.3,1.0,-39.782554188561484,1,0.9492843445511452,0.5142572502131229
12,FPRL,3,0.3,1.0,-5.118528774531101,300,0.0,0.0866210232789811
13,PPO,3,0.3,1.0,-39.972962496804996,1,0.966820230435819,0.464499219135933
13,EGP,3,0.3,1.0,-39.972962496804996,1,0.966820230435819,0.464499219135933
13,FPRL,3,0.3,1.0,-5.072939497165935,300,0.0,0.07979815444992369
14,PPO,3,0.3,1.0,-39.80694603760178,2,0.9659511835648464,0.6495556509103925
14,EGP,3,0.3,1.0,-39.80694603760178,2,0.9659511835648464,0.6495556509103925
14,FPRL,3,0.3,1.0,-5.090637321043951,300,0.018312489897012715,0.07437596902724429
15,PPO,3,0.3,1.0,-39.7818171268344,1,0.9522985593544062,0.5606379169974859
15,EGP,3,0.3,1.0,-39.7818171268344,1,0.9522985593544062,0.5606379169974859
15,FPRL,3,0.3,1.0,-5.1043754444283564,300,0.0,0.09420043875200833
16,PPO,3,0.3,1.0,-39.976379110818904,1,0.9277111426789691,0.5333432112379624
16,EGP,3,0.3,1.0,-39.976379110818904,1,0.9277111426789691,0.5333432112379624
16,FPRL,3,0.3,1.0,-5.0812455844563775,300,0.0,0.07395403097390274
17,PPO,3,0.3,1.0,-39.86215617181782,1,0.9598656805303539,0.5891060854104873
17,EGP,3,0.3,1.0,-39.86215617181782,1,0.9598656805303539,0.5891060854104873
17,FPRL,3,0.3,1.0,-5.105107140705941,300,0.018312489897012715,0.08565950133515328
18,PPO,3,0.3,1.0,-39.91833375954079,4,0.9630186690900159,0.5673467960333981
18,EGP,3,0.3,1.0,-39.91833375954079,4,0.9630186690900159,0.5673467960333981
18,FPRL,3,0.3,1.0,-5.125599500094395,300,0.0,0.08404188699749686
19,PPO,3,0.3,1.0,-40.03828536646993,6,0.9103763508496906,0.42154306525120594
19,EGP,3,0.3,1.0,-40.03828536646993,6,0.9103763508496906,0.42154306525120594
19,FPRL,3,0.3,1.0,-5.086997587579539,300,0.0,0.07157760209186466
20,PPO,3,0.3,1.0,-39.87605342477864,1,0.9498292035859789,0.6132649920138759
20,EGP,3,0.3,1.0,-39.87605342477864,1,0.9498292035859789,0.6132649920138759
20,FPRL,3,0.3,1.0,-5.125032197407495,300,0.034351438784343186,0.11037596621248595
21,PPO,3,0.3,1.0,-39.86764075955262,3,0.936943169730942,0.4709682271271777
21,EGP,3,0.3,1.0,-39.86764075955262,3,0.936943169730942,0.4709682271271777
21,FPRL,3,0.3,1.0,-5.092388539750752,300,0.0,0.06773329424371206
22,PPO,3,0.3,1.0,-39.795580145347586,2,0.9618087748806434,0.4940146808623866
22,EGP,3,0.3,1.0,-39.795580145347586,2,0.9618087748806434,0.4940146808623866
22,FPRL,3,0.3,1.0,-5.095093930916863,300,0.0,0.07402744686385862
23,PPO,3,0.3,1.0,-39.86666857147077,1,0.9398319180673496,0.5141040677501625
23,EGP,3,0.3,1.0,-39.86666857147077,1,0.9398319180673496,0.5141040677501625
23,FPRL,3,0.3,1.0,-5.101517878232503,300,0.04531249083578588,0.06959996259337847
24,PPO,3,0.3,1.0,-39.960986189003094,1,0.9595948550006052,0.416021251241171
24,EGP,3,0.3,1.0,-39.960986189003094,1,0.9595948550006052,0.416021251241171
24,FPRL,3,0.3,1.0,-5.084141095086626,300,0.018312489897012715,0.07426968742850787
25,PPO,3,0.3,1.0,-39.9246511560449,1,0.9576059538338528,0.615892568470435
25,EGP,3,0.3,1.0,-39.9246511560449,1,0.9576059538338528,0.615892568470435
25,FPRL,3,0.3,1.0,-5.093621804533297,300,0.018312489897012715,0.07564913409522037
26,PPO,3,0.3,1.0,-39.94505848391334,1,0.9578233891934053,0.41854625263319145
26,EGP,3,0.3,1.0,-39.94505848391334,1,0.9578233891934053,0.41854625263319145
26,FPRL,3,0.3,1.0,-5.115275354695251,300,0.0,0.08835275548730956
27,PPO,3,0.3,1.0,-39.83091097492481,4,0.9337053553882367,0.62177965325793
27,EGP,3,0.3,1.0,-39.83091097492481,4,0.9337053553882367,0.62177965325793
27,FPRL,3,0.3,1.0,-5.100834196095953,300,0.0,0.0719728179610161
28,PPO,3,0.3,1.0,-39.78675915043261,1,0.962167676945202,0.5247599643468801
