alpha,seed,algo,avg_reward,stability_error
0.1,43,FPRL,-205.80265446145705,0.4587956715612997
0.1,43,PPO,-143.4337170298487,0.5185759861059865
0.1,44,EGP,-187.16774905212293,0.4713263492880276
0.1,44,FPRL,-196.25347023955482,0.4653894603018079
0.1,44,PPO,-87.61135465427583,0.5328368997513341
0.1,45,EGP,-182.87759834399938,0.4679031938415473
0.1,45,FPRL,-202.73512377805002,0.44958603533139085
0.1,45,PPO,-176.23726674202837,0.46885070689800473
0.1,46,EGP,-100.10373074304367,0.5417041635514487
0.1,46,FPRL,-201.69362945252743,0.4600201385731049
0.1,46,PPO,-59.24068394289492,0.5619013488224069
0.1,47,EGP,-204.5143721974591,0.4493943225248265
0.1,47,FPRL,-209.75899336573215,0.4498315671228619
0.1,47,PPO,-55.39115904297977,0.5575865483057826
0.1,48,EGP,-162.92675292470955,0.487574613352065
0.1,48,FPRL,-205.5363889418818,0.4511723894188552
0.1,48,PPO,-99.82111582336562,0.5654471197393915
0.1,49,EGP,-162.35915962844146,0.5001022477099827
0.1,49,FPRL,-209.84020294125375,0.45572821351791337
0.1,49,PPO,-156.58641305782618,0.48820713871357346
0.1,50,EGP,-178.42675737229612,0.48221650905173497
0.1,50,FPRL,-203.28936570122417,0.46736542132802655
0.1,50,PPO,-165.94448651479462,0.5376180979487133
0.5,1,EGP,-230.44209367851056,0.41586516644012433
0.5,1,FPRL,-206.97565570473597,0.44836232149524446
0.5,1,PPO,-98.46853594697171,0.5767823981633025
0.5,2,EGP,-235.56276613788046,0.42739665352518885
0.5,2,FPRL,-204.369633352363,0.45362268138858813
0.5,2,PPO,-139.7250207777089,0.5341319954899157
0.5,3,EGP,-234.27634808776065,0.4278221797128164
0.5,3,FPRL,-203.4930382551352,0.45661315910309225
0.5,3,PPO,-115.40405296413553,0.5787947091406451
0.5,4,EGP,-152.94378252558863,0.5101659641803781
0.5,4,FPRL,-197.38258455880614,0.4655207578990641
0.5,4,PPO,-197.23388619517746,0.5018633555720093
0.5,5,EGP,-227.81398046204512,0.44425375572190945
0.5,5,FPRL,-202.76904826168555,0.45737795317766033
0.5,5,PPO,-124.47935589367121,0.5285840576737996
0.5,6,EGP,-145.0192299065295,0.5160490757688734
0.5,6,FPRL,-208.10617256666833,0.46526275858368576
0.5,6,PPO,-100.19695265512402,0.6190681606146684
0.5,7,EGP,-145.99025524207573,0.4776936306960815
0.5,7,FPRL,-201.42149924892718,0.4532784145322552
0.5,7,PPO,-422.0989337730962,0.12876392064786973
0.5,8,EGP,-117.18567795250861,0.5275864826379697
0.5,8,FPRL,-194.43780991659384,0.46769671598978063
0.5,8,PPO,-107.1816083577471,0.47499105570107264
0.5,9,EGP,-102.62024341291412,0.5559584417823596
0.5,9,FPRL,-217.8705278302932,0.44838771944464806
0.5,9,PPO,-94.1287011994242,0.5632919350023677
0.5,10,EGP,-158.11518979698522,0.5161773515972373
0.5,10,FPRL,-193.64378092630105,0.48201376330281437
0.5,10,PPO,-134.26503904952563,0.5642083913762547
0.5,11,EGP,-201.738600445256,0.4410035976185956
0.5,11,FPRL,-201.6065279982897,0.4523054080980203
0.5,11,PPO,-452.5707983675461,0.09904517322938985
0.5,12,EGP,-132.70995504136812,0.488024170938583
0.5,12,FPRL,-217.5696546082504,0.4316505271581304
0.5,12,PPO,-423.8564445516346,0.13904318492963966
0.5,13,EGP,-228.78871805374914,0.42797240805733755
0.5,13,FPRL,-210.85058037733126,0.44912407928850834
0.5,13,PPO,-129.91222964152422,0.5235001258714165
0.5,14,EGP,-198.79165559161876,0.4547430772322187
0.5,14,FPRL,-210.72828751942993,0.4568846677860636
