seed,algo,n_agents,avg_reward,reward_std,collapse_count,final_resource
10,FPRL,5,-5.137694090554781,0.0641362604259593,300,0.02499997615814209
10,ICRL,5,-40.51685824428509,0.4101749044393891,5,0.9446863600976191
11,PPO,5,-40.40232661298127,0.4373681649227842,2,0.9672158514520732
11,SAC,5,-5.136825230197737,0.05944983328852083,300,0.0
11,EGP,5,-40.40232661298127,0.4373681649227842,2,0.9672158514520732
11,FPRL,5,-5.125936186046706,0.05109734686780991,300,0.0
11,ICRL,5,-40.40232661298127,0.4373681649227842,2,0.9672158514520732
12,PPO,5,-40.46470605854683,0.4310547382546938,2,0.9513739247354845
12,SAC,5,-5.134192715440813,0.058133941002517356,300,0.0
12,EGP,5,-40.46470605854683,0.4310547382546938,2,0.9513739247354845
12,FPRL,5,-5.141789366790911,0.05872127894772986,300,0.0
12,ICRL,5,-40.46470605854683,0.4310547382546938,2,0.9513739247354845
13,PPO,5,-40.51080874987137,0.37302794120691607,3,0.9597817147311175
13,SAC,5,-5.137478306262421,0.049521896147619655,300,0.046707332134246826
13,EGP,5,-40.51080874987137,0.37302794120691607,3,0.9597817147311175
13,FPRL,5,-5.129634541893749,0.054139178404865096,300,0.0
13,ICRL,5,-40.51080874987137,0.37302794120691607,3,0.9597817147311175
14,PPO,5,-40.49204610346193,0.3892824914002003,1,0.9782781021592634
14,SAC,5,-5.155854525552339,0.08511570902113473,300,0.0
14,EGP,5,-40.49204610346193,0.3892824914002003,1,0.9782781021592634
14,FPRL,5,-5.135191171571789,0.05848681721631001,300,0.0
14,ICRL,5,-40.49204610346193,0.3892824914002003,1,0.9782781021592634
15,PPO,5,-40.49507637081853,0.4171288527119031,2,0.9705707266347678
15,SAC,5,-5.142079868962585,0.07893438349802377,300,0.0
15,EGP,5,-40.49507637081853,0.4171288527119031,2,0.9705707266347678
15,FPRL,5,-5.1358040185882485,0.07157757933589139,300,0.0
15,ICRL,5,-40.49507637081853,0.4171288527119031,2,0.9705707266347678
16,PPO,5,-40.51724250054338,0.36441092962528654,1,0.951170347532537
16,SAC,5,-5.143460889491364,0.06306216651460177,300,0.0
16,EGP,5,-40.51724250054338,0.36441092962528654,1,0.951170347532537
16,FPRL,5,-5.122487514936695,0.04890569980452941,300,0.0
16,ICRL,5,-40.51724250054338,0.36441092962528654,1,0.951170347532537
17,PPO,5,-40.57309702667503,0.4360202197331028,2,0.955138330621682
17,SAC,5,-5.14622686274709,0.06533214918321685,300,0.0
17,EGP,5,-40.57309702667503,0.4360202197331028,2,0.955138330621682
17,FPRL,5,-5.128592024216554,0.07718292421720549,300,0.0
17,ICRL,5,-40.57309702667503,0.4360202197331028,2,0.955138330621682
18,PPO,5,-40.48339629008671,0.426736306664596,1,0.9744167042303553
18,SAC,5,-5.1318394773617495,0.060478390431910736,300,0.0
18,EGP,5,-40.48339629008671,0.426736306664596,1,0.9744167042303553
18,FPRL,5,-5.140436116014234,0.07625934941398385,300,0.0
18,ICRL,5,-40.48339629008671,0.426736306664596,1,0.9744167042303553
19,PPO,5,-40.48626197967501,0.4619450677832668,3,0.9612906776490185
19,SAC,5,-5.1421197331006505,0.05358535341950465,300,0.0
19,EGP,5,-40.48626197967501,0.4619450677832668,3,0.9612906776490185
19,FPRL,5,-5.135298946877116,0.06270383938543166,300,0.02499997615814209
19,ICRL,5,-40.48626197967501,0.4619450677832668,3,0.9612906776490185
20,PPO,5,-40.5548656478683,0.428537315919836,1,0.9511725302615328
20,SAC,5,-5.140809727535209,0.0669932801572378,300,0.02499997615814209
20,EGP,5,-40.5548656478683,0.428537315919836,1,0.9511725302615328
20,FPRL,5,-5.13519526036863,0.059010694709587364,300,0.004138969664943204
20,ICRL,5,-40.5548656478683,0.428537315919836,1,0.9511725302615328
21,PPO,5,-40.43097404271681,0.43979700369680486,3,0.9041751983981744
21,SAC,5,-5.13815710729417,0.07863747226766916,300,0.0
21,EGP,5,-40.43097404271681,0.43979700369680486,3,0.9041751983981744
21,FPRL,5,-5.13296539758106,0.0602130319562224,300,0.0
21,ICRL,5,-40.43097404271681,0.43979700369680486,3,0.9041751983981744
22,PPO,5,-40.498862206180824,0.3717483074893057,10,0.9197196991512252
22,SAC,5,-5.149650196424902,0.07522362590540663,300,0.0
22,EGP,5,-40.498862206180824,0.3717483074893057,10,0.9197196991512252
22,FPRL,5,-5.131369188602658,0.05283473491889442,300,0.0025930083614795763
22,ICRL,5,-40.498862206180824,0.3717483074893057,10,0.9197196991512252
23,PPO,5,-40.53879539648928,0.45222891730811043,3,0.9640161259351437
23,SAC,5,-5.135336468337677,0.05969780620812752,300,0.02499997615814209
23,EGP,5,-40.53879539648928,0.45222891730811043,3,0.9640161259351437
23,FPRL,5,-5.150245530207198,0.0614507095683572,300,0.0
23,ICRL,5,-40.53879539648928,0.45222891730811043,3,0.9640161259351437
24,PPO,5,-40.572728574543646,0.4311283175022926,1,0.983573742815067
24,SAC,5,-5.162847949113401,0.07727488022303843,300,0.0
24,EGP,5,-40.572728574543646,0.4311283175022926,1,0.983573742815067
24,FPRL,5,-5.130639361332411,0.056666199082205895,300,0.033637940883636475
24,ICRL,5,-40.572728574543646,0.4311283175022926,1,0.983573742815067
25,PPO,5,-40.49134478666415,0.4091626424223702,2,0.9388006907450062
25,SAC,5,-5.1248257872915035,0.05658695726130056,300,0.0
25,EGP,5,-40.49134478666415,0.4091626424223702,2,0.9388006907450062
25,FPRL,5,-5.1477921573241705,0.07315149030872785,300,0.02499997615814209
25,ICRL,5,-40.49134478666415,0.4091626424223702,2,0.9388006907450062
26,PPO,5,-40.58421346941681,0.37537430221194074,2,0.9467261446889207
26,SAC,5,-5.139395128789841,0.054927076705478944,300,0.0
26,EGP,5,-40.58421346941681,0.37537430221194074,2,0.9467261446889207
26,FPRL,5,-5.137950547634439,0.05580738142645921,300,0.0
26,ICRL,5,-40.58421346941681,0.37537430221194074,2,0.9467261446889207
27,PPO,5,-40.44803164111729,0.4301530040682466,1,0.9314821812558715
27,SAC,5,-5.130870989322131,0.05890079543019385,300,0.0
27,EGP,5,-40.44803164111729,0.4301530040682466,1,0.9314821812558715
27,FPRL,5,-5.13746662031638,0.05727480981101016,300,0.0
27,ICRL,5,-40.44803164111729,0.4301530040682466,1,0.9314821812558715
28,PPO,5,-40.46268969270285,0.3880347993983726,1,0.9443156130620287
28,SAC,5,-5.141776163240295,0.049131048458629686,300,0.0
28,EGP,5,-40.46268969270285,0.3880347993983726,1,0.9443156130620287
28,FPRL,5,-5.1412729868817975,0.06689004579408618,300,0.0
28,ICRL,5,-40.46268969270285,0.3880347993983726,1,0.9443156130620287
29,PPO,5,-40.462150721491845,0.4855338638232388,6,0.9619041757249339
29,SAC,5,-5.162244065782642,0.09456344026569669,300,0.0
29,EGP,5,-40.462150721491845,0.4855338638232388,6,0.9619041757249339
29,FPRL,5,-5.129639396552266,0.054732392817505804,300,0.047962231326856855
29,ICRL,5,-40.462150721491845,0.4855338638232388,6,0.9619041757249339
30,PPO,5,-40.57617483744683,0.41266380374783146,1,0.9340971520244131
30,SAC,5,-5.13271099123633,0.058739332036146785,300,0.0
30,EGP,5,-40.57617483744683,0.41266380374783146,1,0.9340971520244131
30,FPRL,5,-5.127135710483128,0.06066001727507245,300,0.02499997615814209
30,ICRL,5,-40.57617483744683,0.41266380374783146,1,0.9340971520244131
31,PPO,5,-40.47446841727101,0.42079649491299514,3,0.9721771295912629
31,SAC,5,-5.128655485288523,0.07107675478150119,300,0.02499997615814209
31,EGP,5,-40.47446841727101,0.42079649491299514,3,0.9721771295912629
31,FPRL,5,-5.137685722012931,0.07796489189064632,300,0.0
31,ICRL,5,-40.47446841727101,0.42079649491299514,3,0.9721771295912629
32,PPO,5,-40.51734397457697,0.35323023653460356,2,0.948150044314332
32,SAC,5,-5.138876668665995,0.060626479209470764,300,0.02499997615814209
32,EGP,5,-40.51734397457697,0.35323023653460356,2,0.948150044314332
32,FPRL,5,-5.139092147703209,0.06097164315502081,300,0.0
32,ICRL,5,-40.51734397457697,0.35323023653460356,2,0.948150044314332
33,PPO,5,-40.49291240879703,0.4684839866093202,3,0.9571389454732452
33,SAC,5,-5.141549273045869,0.06238151636818471,300,0.0
33,EGP,5,-40.49291240879703,0.4684839866093202,3,0.9571389454732452
33,FPRL,5,-5.137781380381036,0.05178746585004028,300,0.0
